Index,Polymer,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo,Sum_of_frags
95,pva,74,22,ethanol,26.5,12.5,67,3,0.1012,48.59,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,pva,74,22,ethanol,26.5,15,60,3,0.1084,41.1,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,pva,74,22,ethanol,26.5,15,60,3,0.11,52.64,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
98,pva,74,22,ipa,23.5,12.5,67,3,0.1139,60.83,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,pva,74,25,ipa,23.5,10,30,2,0.1505,125,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,pva,74,50,ipa,23.5,10,30,6.7,0.1324,163.418803,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,pva,74,50,ipa,23.5,10,40,0.06,0.1556,55,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,pva,74,50,ipa,23.5,10,50,0.06,0.1886,36,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,pva,74,50,ipa,23.5,10,60,0.06,0.2,23,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104,chitosan,55.1,45,ipa,23.5,5,60,3,0.127,3124.966463,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
105,chitosan,55.1,45,ethanol,26.5,5,60,3,0.1438,444.991431,"[1, 3, 10, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
106,alginate,37.37,45,ethanol,26.5,5,60,3,0.2195,5587.953034,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
107,alginate,37.37,45,ipa,23.5,5,60,3,0.2328,3603.305055,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
108,chitosan,55.1,45,ethanol,26.5,10,60,3,0.2876,178.956407,"[1, 3, 10, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
109,chitosan,55.1,45,ipa,23.5,10,60,3,0.2963,1533.087739,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
110,alginate,37.37,45,ethanol,26.5,10,60,3,0.3103,2363.885157,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
111,alginate,37.37,45,ethanol,26.5,20,60,3,0.5297,1499.077811,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
112,chitosan,55.1,45,ethanol,26.5,20,60,3,0.6962,75.704358,"[1, 3, 10, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
